Line No.,From Bus,To Bus,R (pu),X (pu),Flow Limit (MW)
1,1,2,0.0303,0.0999,175
2,1,3,0.0129,0.0424,175
3,4,5,0.00176,0.00798,500
4,3,5,0.0241,0.108,175
5,5,6,0.0119,0.054,175
6,6,7,0.00459,0.0208,175
7,8,9,0.00244,0.0305,500
8,8,5,0,0.0267,500
9,9,10,0.00258,0.0322,500
10,4,11,0.0209,0.0688,175
11,5,11,0.0203,0.0682,175
12,11,12,0.00595,0.0196,175
13,2,12,0.0187,0.0616,175
14,3,12,0.0484,0.16,175
15,7,12,0.00862,0.034,175
16,11,13,0.02225,0.0731,175
17,12,14,0.0215,0.0707,175
18,13,15,0.0744,0.2444,175
19,14,15,0.0595,0.195,175
20,12,16,0.0212,0.0834,175
21,15,17,0.0132,0.0437,500
22,16,17,0.0454,0.1801,175
23,17,18,0.0123,0.0505,175
24,18,19,0.01119,0.0493,175
25,19,20,0.0252,0.117,175
26,15,19,0.012,0.0394,175
27,20,21,0.0183,0.0849,175
28,21,22,0.0209,0.097,175
29,22,23,0.0342,0.159,175
30,23,24,0.0135,0.0492,175
31,23,25,0.0156,0.08,500
32,26,25,0,0.0382,500
33,25,27,0.0318,0.163,500
34,27,28,0.01913,0.0855,175
35,28,29,0.0237,0.0943,175
36,30,17,0,0.0388,500
37,8,30,0.00431,0.0504,175
38,26,30,0.00799,0.086,500
